,index,Season,Week,Include,Team 1,Team 2,Spread Open,O/U Open,Open Favorite,Spread Close,O/U Close,Close Favorite,Spread Consensus Team 1,Spread Consensus Team 2,Over Consensus,Under Consensus,Moneyline Consensus Team 1,Moneyline Consensus Team 2,Game ID 1,Game ID 2
881,1762,2017,16,True,Miami,KansasCity,-10.0,45.0,Team 2,-11.0,43.5,Team 2,42%,58%,52%,48%,64%,36%,201716MiamiKansasCity,201716KansasCityMiami
882,1764,2017,16,True,Buffalo,NewEngland,-10.5,47.0,Team 2,-11.0,47.5,Team 2,52%,48%,50%,50%,36%,64%,201716BuffaloNewEngland,201716NewEnglandBuffalo
883,1766,2017,16,True,Jacksonville,SanFrancisco,-5.0,42.5,Team 1,-4.0,43.0,Team 1,65%,35%,61%,39%,57%,43%,201716JacksonvilleSanFrancisco,201716SanFranciscoJacksonville
884,1768,2017,16,True,NYGiants,Arizona,-5.0,40.0,Team 2,-3.0,39.5,Team 2,41%,59%,40%,60%,54%,46%,201716NYGiantsArizona,201716ArizonaNYGiants
885,1770,2017,16,True,Seattle,Dallas,-2.5,47.0,Team 2,-4.5,47.5,Team 2,31%,69%,68%,32%,43%,57%,201716SeattleDallas,201716DallasSeattle
886,1772,2017,16,True,Pittsburgh,Houston,-10.0,44.0,Team 1,-9.0,45.5,Team 1,67%,33%,52%,48%,85%,15%,201716PittsburghHouston,201716HoustonPittsburgh
887,1774,2017,16,True,Oakland,Philadelphia,,,Team 1,-10.0,46.0,Team 2,41%,59%,67%,33%,43%,57%,201716OaklandPhiladelphia,201716PhiladelphiaOakland
888,1776,2017,17,True,Tennessee,KansasCity,-8.0,44.5,Team 2,-9.0,44.0,Team 2,49%,51%,46%,54%,43%,57%,201717TennesseeKansasCity,201717KansasCityTennessee
889,1778,2017,17,True,Atlanta,LARams,-5.0,50.0,Team 2,-6.0,48.5,Team 2,56%,44%,77%,23%,76%,24%,201717AtlantaLARams,201717LARamsAtlanta
890,1780,2017,17,True,Buffalo,Jacksonville,-8.5,40.0,Team 2,-8.5,40.0,Team 2,56%,44%,54%,46%,60%,40%,201717BuffaloJacksonville,201717JacksonvilleBuffalo
891,1782,2017,17,True,Carolina,NewOrleans,-6.0,48.5,Team 2,-6.5,48.0,Team 2,37%,63%,66%,34%,67%,33%,201717CarolinaNewOrleans,201717NewOrleansCarolina
892,1784,2017,18,True,Tennessee,KansasCity,-8.0,44.5,Team 2,-9.0,44.0,Team 2,49%,51%,46%,54%,43%,57%,201718TennesseeKansasCity,201718KansasCityTennessee
893,1786,2017,18,True,Atlanta,LARams,-5.0,50.0,Team 2,-6.0,48.5,Team 2,56%,44%,77%,23%,76%,24%,201718AtlantaLARams,201718LARamsAtlanta
894,1788,2017,18,True,Buffalo,Jacksonville,-8.5,40.0,Team 2,-8.5,40.0,Team 2,56%,44%,54%,46%,60%,40%,201718BuffaloJacksonville,201718JacksonvilleBuffalo
895,1790,2017,18,True,Carolina,NewOrleans,-6.0,48.5,Team 2,-6.5,48.0,Team 2,37%,63%,66%,34%,67%,33%,201718CarolinaNewOrleans,201718NewOrleansCarolina
896,1792,2017,19,True,Atlanta,Philadelphia,-3.0,44.0,Team 1,,,Team 1,58%,42%,59%,41%,48%,52%,201719AtlantaPhiladelphia,201719PhiladelphiaAtlanta
897,1794,2017,19,True,Tennessee,NewEngland,,,Team 1,,,Team 1,42%,58%,61%,39%,61%,39%,201719TennesseeNewEngland,201719NewEnglandTennessee
898,1796,2017,19,True,Jacksonville,Pittsburgh,,,Team 1,,,Team 1,43%,57%,48%,52%,48%,52%,201719JacksonvillePittsburgh,201719PittsburghJacksonville
899,1798,2017,19,True,NewOrleans,Minnesota,,,Team 1,,,Team 1,58%,42%,64%,36%,76%,24%,201719NewOrleansMinnesota,201719MinnesotaNewOrleans
900,1800,2017,20,True,Jacksonville,NewEngland,-9.0,47.0,Team 2,-7.5,46.0,Team 2,40%,60%,45%,55%,53%,47%,201720JacksonvilleNewEngland,201720NewEnglandJacksonville
901,1802,2017,20,True,Minnesota,Philadelphia,-3.5,38.5,Team 1,-3.0,39.0,Team 1,55%,45%,61%,39%,42%,58%,201720MinnesotaPhiladelphia,201720PhiladelphiaMinnesota
902,1804,2017,21,True,AFC,NFC,-3.0,71.0,Team 2,-3.0,66.5,Team 2,41%,59%,68%,32%,82%,18%,201721AFCNFC,201721NFCAFC
903,1806,2017,22,True,Philadelphia,NewEngland,-6.0,47.0,Team 2,-4.5,49.0,Team 2,49%,51%,50%,50%,54%,46%,201722PhiladelphiaNewEngland,201722NewEnglandPhiladelphia
904,1808,2016,1,True,Carolina,Denver,,,Team 1,,,Team 1,74%,26%,43%,57%,64%,36%,20161CarolinaDenver,20161DenverCarolina
905,1810,2016,1,True,TampaBay,Atlanta,,,Team 1,,,Team 1,49%,51%,78%,22%,69%,31%,20161TampaBayAtlanta,20161AtlantaTampaBay
906,1812,2016,1,True,Minnesota,Tennessee,,,Team 1,,,Team 1,46%,54%,45%,55%,37%,63%,20161MinnesotaTennessee,20161TennesseeMinnesota
907,1814,2016,1,True,Cleveland,Philadelphia,,,Team 1,,,Team 1,47%,53%,58%,42%,60%,40%,20161ClevelandPhiladelphia,20161PhiladelphiaCleveland
908,1816,2016,1,True,Cincinnati,NYJets,,,Team 1,,,Team 1,59%,41%,63%,37%,43%,57%,20161CincinnatiNYJets,20161NYJetsCincinnati
909,1818,2016,1,True,Oakland,NewOrleans,,,Team 1,,,Team 1,52%,48%,81%,19%,58%,42%,20161OaklandNewOrleans,20161NewOrleansOakland
910,1820,2016,1,True,LAChargers,KansasCity,,,Team 1,,,Team 1,53%,47%,59%,41%,45%,55%,20161LAChargersKansasCity,20161KansasCityLAChargers
911,1822,2016,1,True,Buffalo,Baltimore,,,Team 1,,,Team 1,47%,53%,73%,27%,81%,19%,20161BuffaloBaltimore,20161BaltimoreBuffalo
912,1824,2016,1,True,Chicago,Houston,,,Team 1,,,Team 1,37%,63%,45%,55%,39%,61%,20161ChicagoHouston,20161HoustonChicago
913,1826,2016,1,True,GreenBay,Jacksonville,,,Team 1,,,Team 1,75%,25%,58%,42%,78%,22%,20161GreenBayJacksonville,20161JacksonvilleGreenBay
914,1828,2016,1,True,Miami,Seattle,,,Team 1,,,Team 1,44%,56%,63%,37%,46%,54%,20161MiamiSeattle,20161SeattleMiami
915,1830,2016,1,True,NYGiants,Dallas,,,Team 1,,,Team 1,65%,35%,79%,21%,65%,35%,20161NYGiantsDallas,20161DallasNYGiants
916,1832,2016,1,True,Detroit,Indianapolis,,,Team 1,,,Team 1,26%,74%,68%,32%,38%,62%,20161DetroitIndianapolis,20161IndianapolisDetroit
917,1834,2016,1,True,NewEngland,Arizona,,,Team 1,,,Team 1,53%,47%,72%,28%,63%,37%,20161NewEnglandArizona,20161ArizonaNewEngland
918,1836,2016,1,True,Pittsburgh,Washington,,,Team 1,,,Team 1,70%,30%,72%,28%,49%,51%,20161PittsburghWashington,20161WashingtonPittsburgh
919,1838,2016,1,True,LARams,SanFrancisco,,,Team 1,,,Team 1,60%,40%,47%,53%,62%,38%,20161LARamsSanFrancisco,20161SanFranciscoLARams
920,1840,2016,2,True,NYJets,Buffalo,-2.5,42.5,Team 2,0.0,40.5,No Favorite,68%,32%,52%,48%,67%,33%,20162NYJetsBuffalo,20162BuffaloNYJets
