,index,Season,Week,Include,Team 1,Team 2,Spread Open,O/U Open,Open Favorite,Spread Close,O/U Close,Close Favorite,Spread Consensus Team 1,Spread Consensus Team 2,Over Consensus,Under Consensus,Moneyline Consensus Team 1,Moneyline Consensus Team 2,Game ID 1,Game ID 2
1070,2140,2016,12,True,Jacksonville,Buffalo,-6.5,47.0,Team 2,-8.5,44.0,Team 2,39%,61%,79%,21%,26%,74%,201612JacksonvilleBuffalo,201612BuffaloJacksonville
1071,2142,2016,12,True,Cincinnati,Baltimore,,,Team 1,-3.5,42.0,Team 2,32%,68%,41%,59%,28%,72%,201612CincinnatiBaltimore,201612BaltimoreCincinnati
1072,2144,2016,12,True,Arizona,Atlanta,-4.0,51.0,Team 2,-4.0,49.0,Team 2,43%,57%,81%,19%,57%,43%,201612ArizonaAtlanta,201612AtlantaArizona
1073,2146,2016,12,True,SanFrancisco,Miami,,,Team 1,-7.0,45.0,Team 2,37%,63%,56%,44%,38%,62%,201612SanFranciscoMiami,201612MiamiSanFrancisco
1074,2148,2016,12,True,LosAngeles,NewOrleans,,,Team 1,-8.0,45.0,Team 2,42%,58%,61%,39%,55%,45%,201612LosAngelesNewOrleans,201612NewOrleansLosAngeles
1075,2150,2016,12,True,NYGiants,Cleveland,,,Team 1,-6.5,47.0,Team 1,78%,22%,75%,25%,81%,19%,201612NYGiantsCleveland,201612ClevelandNYGiants
1076,2152,2016,12,True,Seattle,TampaBay,,,Team 1,-5.5,46.0,Team 1,74%,26%,78%,22%,62%,38%,201612SeattleTampaBay,201612TampaBaySeattle
1077,2154,2016,12,True,Carolina,Oakland,,,Team 1,-3.5,48.5,Team 2,41%,59%,87%,13%,65%,35%,201612CarolinaOakland,201612OaklandCarolina
1078,2156,2016,12,True,KansasCity,Denver,,,Team 1,-3.5,40.0,Team 2,42%,58%,57%,43%,55%,45%,201612KansasCityDenver,201612DenverKansasCity
1079,2158,2016,12,True,NewEngland,NYJets,-7.5,48.0,Team 1,-9.5,48.0,Team 1,77%,23%,68%,32%,75%,25%,201612NewEnglandNYJets,201612NYJetsNewEngland
1080,2160,2016,12,True,GreenBay,Philadelphia,-3.0,47.0,Team 2,-4.0,47.5,Team 2,56%,44%,75%,25%,75%,25%,201612GreenBayPhiladelphia,201612PhiladelphiaGreenBay
1081,2162,2016,13,True,Dallas,Minnesota,-2.5,43.5,Team 1,-3.0,43.5,Team 1,68%,32%,60%,40%,62%,38%,201613DallasMinnesota,201613MinnesotaDallas
1082,2164,2016,13,True,Denver,Jacksonville,,,Team 1,-3.5,38.5,Team 1,69%,31%,41%,59%,77%,23%,201613DenverJacksonville,201613JacksonvilleDenver
1083,2166,2016,13,True,KansasCity,Atlanta,-4.0,49.0,Team 2,-5.0,50.0,Team 2,47%,53%,72%,28%,82%,18%,201613KansasCityAtlanta,201613AtlantaKansasCity
1084,2168,2016,13,True,Houston,GreenBay,,,Team 1,-7.0,44.5,Team 2,20%,80%,57%,43%,34%,66%,201613HoustonGreenBay,201613GreenBayHouston
1085,2170,2016,13,True,Philadelphia,Cincinnati,,,Team 1,-1.5,42.0,Team 2,48%,52%,54%,46%,58%,42%,201613PhiladelphiaCincinnati,201613CincinnatiPhiladelphia
1086,2172,2016,13,True,Detroit,NewOrleans,-5.0,54.0,Team 2,-6.5,53.5,Team 2,56%,44%,86%,14%,68%,32%,201613DetroitNewOrleans,201613NewOrleansDetroit
1087,2174,2016,13,True,SanFrancisco,Chicago,,,Team 1,-1.0,44.0,Team 1,57%,43%,60%,40%,51%,49%,201613SanFranciscoChicago,201613ChicagoSanFrancisco
1088,2176,2016,13,True,LosAngeles,NewEngland,,,Team 1,-13.5,44.5,Team 2,28%,72%,49%,51%,29%,71%,201613LosAngelesNewEngland,201613NewEnglandLosAngeles
1089,2178,2016,13,True,Miami,Baltimore,,,Team 1,-3.5,41.5,Team 2,51%,49%,42%,58%,58%,42%,201613MiamiBaltimore,201613BaltimoreMiami
1090,2180,2016,13,True,Buffalo,Oakland,,,Team 1,-3.0,49.0,Team 2,38%,62%,72%,28%,39%,61%,201613BuffaloOakland,201613OaklandBuffalo
1091,2182,2016,13,True,TampaBay,SanDiego,,,Team 1,-3.5,49.0,Team 2,48%,52%,82%,18%,70%,30%,201613TampaBaySanDiego,201613SanDiegoTampaBay
1092,2184,2016,13,True,Washington,Arizona,,,Team 1,-2.5,48.5,Team 2,51%,49%,74%,26%,61%,39%,201613WashingtonArizona,201613ArizonaWashington
1093,2186,2016,13,True,NYGiants,Pittsburgh,,,Team 1,-6.5,49.5,Team 2,58%,42%,75%,25%,68%,32%,201613NYGiantsPittsburgh,201613PittsburghNYGiants
1094,2188,2016,13,True,Carolina,Seattle,,,Team 1,-8.5,44.0,Team 2,49%,51%,62%,38%,51%,49%,201613CarolinaSeattle,201613SeattleCarolina
1095,2190,2016,13,True,Indianapolis,NYJets,,,Team 1,-1.0,48.5,Team 2,61%,39%,54%,46%,64%,36%,201613IndianapolisNYJets,201613NYJetsIndianapolis
1096,2192,2016,14,True,Oakland,KansasCity,-3.5,47.0,Team 2,-3.5,46.0,Team 2,49%,51%,51%,49%,63%,37%,201614OaklandKansasCity,201614KansasCityOakland
1097,2194,2016,14,True,Denver,Tennessee,-1.5,43.5,Team 2,-2.0,44.0,Team 2,60%,40%,60%,40%,68%,32%,201614DenverTennessee,201614TennesseeDenver
1098,2196,2016,14,True,SanDiego,Carolina,-3.0,49.0,Team 2,-1.0,48.5,Team 2,41%,59%,82%,18%,33%,67%,201614SanDiegoCarolina,201614CarolinaSanDiego
1099,2198,2016,14,True,Houston,Indianapolis,-4.5,46.5,Team 2,-6.5,47.5,Team 2,49%,51%,65%,35%,53%,47%,201614HoustonIndianapolis,201614IndianapolisHouston
1100,2200,2016,14,True,Cincinnati,Cleveland,-4.0,44.0,Team 1,-5.0,41.5,Team 1,70%,30%,39%,61%,55%,45%,201614CincinnatiCleveland,201614ClevelandCincinnati
1101,2202,2016,14,True,Pittsburgh,Buffalo,-1.5,47.5,Team 1,-2.0,45.5,Team 1,66%,34%,49%,51%,80%,20%,201614PittsburghBuffalo,201614BuffaloPittsburgh
1102,2204,2016,14,True,Arizona,Miami,-2.5,44.0,Team 2,-2.0,44.0,Team 1,62%,38%,76%,24%,55%,45%,201614ArizonaMiami,201614MiamiArizona
1103,2206,2016,14,True,Chicago,Detroit,-7.0,44.0,Team 2,-7.5,42.0,Team 2,25%,75%,69%,31%,22%,78%,201614ChicagoDetroit,201614DetroitChicago
1104,2208,2016,14,True,Minnesota,Jacksonville,-3.0,40.0,Team 1,-3.5,38.0,Team 1,75%,25%,27%,73%,75%,25%,201614MinnesotaJacksonville,201614JacksonvilleMinnesota
1105,2210,2016,14,True,NewOrleans,TampaBay,0.0,51.0,No Favorite,-2.0,52.0,Team 2,34%,66%,84%,16%,32%,68%,201614NewOrleansTampaBay,201614TampaBayNewOrleans
1106,2212,2016,14,True,Washington,Philadelphia,-1.0,47.5,Team 1,-2.5,48.5,Team 1,75%,25%,75%,25%,65%,35%,201614WashingtonPhiladelphia,201614PhiladelphiaWashington
1107,2214,2016,14,True,NYJets,SanFrancisco,-1.0,46.5,Team 2,-3.0,43.0,Team 2,44%,56%,37%,63%,53%,47%,201614NYJetsSanFrancisco,201614SanFranciscoNYJets
1108,2216,2016,14,True,Seattle,GreenBay,-2.5,46.5,Team 1,-3.0,47.0,Team 1,39%,61%,42%,58%,38%,62%,201614SeattleGreenBay,201614GreenBaySeattle
1109,2218,2016,14,True,Atlanta,LosAngeles,-4.5,46.0,Team 1,-5.0,44.0,Team 1,67%,33%,60%,40%,75%,25%,201614AtlantaLosAngeles,201614LosAngelesAtlanta
1110,2220,2016,14,True,Dallas,NYGiants,-2.5,47.5,Team 1,-3.5,47.0,Team 1,54%,46%,67%,33%,42%,58%,201614DallasNYGiants,201614NYGiantsDallas
1111,2222,2016,14,True,Baltimore,NewEngland,-9.0,44.5,Team 2,-6.0,45.5,Team 2,48%,52%,55%,45%,50%,50%,201614BaltimoreNewEngland,201614NewEnglandBaltimore
1112,2224,2016,15,True,LosAngeles,Seattle,-12.5,40.0,Team 2,-15.5,39.5,Team 2,38%,62%,62%,38%,46%,54%,201615LosAngelesSeattle,201615SeattleLosAngeles
1113,2226,2016,15,True,Miami,NYJets,-3.0,41.0,Team 1,-2.5,39.5,Team 1,66%,34%,46%,54%,52%,48%,201615MiamiNYJets,201615NYJetsMiami
1114,2228,2016,15,True,TampaBay,Dallas,,,Team 1,-7.0,47.5,Team 2,54%,46%,56%,44%,64%,36%,201615TampaBayDallas,201615DallasTampaBay
1115,2230,2016,15,True,Detroit,NYGiants,,,Team 1,-4.0,42.0,Team 2,49%,51%,53%,47%,64%,36%,201615DetroitNYGiants,201615NYGiantsDetroit
1116,2232,2016,15,True,Philadelphia,Baltimore,-6.0,41.5,Team 2,-5.0,41.0,Team 2,21%,79%,52%,48%,23%,77%,201615PhiladelphiaBaltimore,201615BaltimorePhiladelphia
1117,2234,2016,15,True,GreenBay,Chicago,,,Team 1,-4.5,40.0,Team 1,79%,21%,38%,62%,72%,28%,201615GreenBayChicago,201615ChicagoGreenBay
1118,2236,2016,15,True,Indianapolis,Minnesota,,,Team 1,-5.0,45.0,Team 2,44%,56%,54%,46%,58%,42%,201615IndianapolisMinnesota,201615MinnesotaIndianapolis
1119,2238,2016,15,True,Cleveland,Buffalo,-10.0,44.0,Team 2,-10.5,43.0,Team 2,33%,67%,39%,61%,25%,75%,201615ClevelandBuffalo,201615BuffaloCleveland
1120,2240,2016,15,True,Tennessee,KansasCity,,,Team 1,-6.0,43.0,Team 2,42%,58%,43%,57%,44%,56%,201615TennesseeKansasCity,201615KansasCityTennessee
1121,2242,2016,15,True,Jacksonville,Houston,,,Team 1,-3.5,39.5,Team 2,27%,73%,66%,34%,20%,80%,201615JacksonvilleHouston,201615HoustonJacksonville
1122,2244,2016,15,True,NewOrleans,Arizona,-2.5,50.0,Team 2,-3.0,48.5,Team 2,35%,65%,73%,27%,51%,49%,201615NewOrleansArizona,201615ArizonaNewOrleans
1123,2246,2016,15,True,SanFrancisco,Atlanta,,,Team 1,-14.0,51.5,Team 2,17%,83%,79%,21%,25%,75%,201615SanFranciscoAtlanta,201615AtlantaSanFrancisco
1124,2248,2016,15,True,NewEngland,Denver,-3.0,44.0,Team 1,-3.0,43.5,Team 1,83%,17%,43%,57%,64%,36%,201615NewEnglandDenver,201615DenverNewEngland
1125,2250,2016,15,True,Oakland,SanDiego,-2.5,51.0,Team 1,-2.5,50.0,Team 1,75%,25%,78%,22%,70%,30%,201615OaklandSanDiego,201615SanDiegoOakland
1126,2252,2016,15,True,Pittsburgh,Cincinnati,,,Team 1,-3.0,46.0,Team 1,72%,28%,56%,44%,79%,21%,201615PittsburghCincinnati,201615CincinnatiPittsburgh
1127,2254,2016,15,True,Carolina,Washington,,,Team 1,-7.0,51.0,Team 2,46%,54%,69%,31%,56%,44%,201615CarolinaWashington,201615WashingtonCarolina
1128,2256,2016,16,True,NYGiants,Philadelphia,,,Team 1,-1.0,42.5,Team 2,79%,21%,63%,37%,82%,18%,201616NYGiantsPhiladelphia,201616PhiladelphiaNYGiants
1129,2258,2016,16,True,Washington,Chicago,-4.0,47.0,Team 1,-3.0,49.0,Team 1,71%,29%,59%,41%,54%,46%,201616WashingtonChicago,201616ChicagoWashington
1130,2260,2016,16,True,Miami,Buffalo,-3.5,44.0,Team 2,-4.5,44.5,Team 2,43%,57%,57%,43%,65%,35%,201616MiamiBuffalo,201616BuffaloMiami
1131,2262,2016,16,True,TampaBay,NewOrleans,-3.5,52.5,Team 2,-3.0,53.0,Team 2,53%,47%,76%,24%,60%,40%,201616TampaBayNewOrleans,201616NewOrleansTampaBay
1132,2264,2016,16,True,Atlanta,Carolina,-3.5,52.5,Team 1,-3.0,49.0,Team 1,64%,36%,62%,38%,36%,64%,201616AtlantaCarolina,201616CarolinaAtlanta
1133,2266,2016,16,True,Minnesota,GreenBay,-6.5,43.5,Team 2,-6.5,44.5,Team 2,22%,78%,64%,36%,21%,79%,201616MinnesotaGreenBay,201616GreenBayMinnesota
1134,2268,2016,16,True,NYJets,NewEngland,-16.5,44.5,Team 2,-17.0,45.0,Team 2,40%,60%,51%,49%,50%,50%,201616NYJetsNewEngland,201616NewEnglandNYJets
1135,2270,2016,16,True,Tennessee,Jacksonville,-4.0,44.5,Team 1,-4.5,44.0,Team 1,79%,21%,73%,27%,85%,15%,201616TennesseeJacksonville,201616JacksonvilleTennessee
1136,2272,2016,16,True,SanDiego,Cleveland,-6.5,45.5,Team 1,-5.0,45.5,Team 1,76%,24%,52%,48%,44%,56%,201616SanDiegoCleveland,201616ClevelandSanDiego
1137,2274,2016,16,True,Indianapolis,Oakland,-3.5,52.5,Team 2,-3.5,52.5,Team 2,44%,56%,74%,26%,44%,56%,201616IndianapolisOakland,201616OaklandIndianapolis
1138,2276,2016,16,True,SanFrancisco,LosAngeles,-3.0,41.0,Team 2,-6.0,39.5,Team 2,36%,64%,60%,40%,52%,48%,201616SanFranciscoLosAngeles,201616LosAngelesSanFrancisco
1139,2278,2016,16,True,Arizona,Seattle,-6.5,44.0,Team 2,-9.0,43.5,Team 2,38%,62%,72%,28%,23%,77%,201616ArizonaSeattle,201616SeattleArizona
1140,2280,2016,16,True,Cincinnati,Houston,-3.5,41.0,Team 2,-3.0,41.5,Team 2,39%,61%,53%,47%,42%,58%,201616CincinnatiHouston,201616HoustonCincinnati
1141,2282,2016,16,True,Baltimore,Pittsburgh,-3.5,44.5,Team 2,-5.5,46.5,Team 2,46%,54%,66%,34%,31%,69%,201616BaltimorePittsburgh,201616PittsburghBaltimore
1142,2284,2016,16,True,Denver,KansasCity,-3.5,38.0,Team 2,-3.5,38.0,Team 2,30%,70%,54%,46%,50%,50%,201616DenverKansasCity,201616KansasCityDenver
1143,2286,2016,16,True,Detroit,Dallas,-7.0,41.5,Team 2,-6.5,46.5,Team 2,54%,46%,61%,39%,63%,37%,201616DetroitDallas,201616DallasDetroit
1144,2288,2016,17,True,Houston,Tennessee,-3.0,41.0,Team 2,-3.0,41.0,Team 2,47%,53%,34%,66%,66%,34%,201617HoustonTennessee,201617TennesseeHouston
1145,2290,2016,17,True,Buffalo,NYJets,-5.0,45.0,Team 1,-4.0,43.0,Team 1,69%,31%,38%,62%,53%,47%,201617BuffaloNYJets,201617NYJetsBuffalo
1146,2292,2016,17,True,Baltimore,Cincinnati,-2.5,41.5,Team 2,-2.5,40.5,Team 1,76%,24%,60%,40%,73%,27%,201617BaltimoreCincinnati,201617CincinnatiBaltimore
1147,2294,2016,17,True,NYGiants,Washington,-5.0,44.0,Team 2,-9.0,47.0,Team 2,60%,40%,60%,40%,70%,30%,201617NYGiantsWashington,201617WashingtonNYGiants
1148,2296,2016,17,True,GreenBay,Detroit,-3.0,46.5,Team 1,-3.5,50.5,Team 1,63%,37%,63%,37%,55%,45%,201617GreenBayDetroit,201617DetroitGreenBay
1149,2298,2016,17,True,Jacksonville,Indianapolis,-7.0,48.5,Team 2,-5.5,49.0,Team 2,32%,68%,72%,28%,44%,56%,201617JacksonvilleIndianapolis,201617IndianapolisJacksonville
1150,2300,2016,17,True,Dallas,Philadelphia,-6.5,42.5,Team 2,-6.5,44.0,Team 2,72%,28%,80%,20%,87%,13%,201617DallasPhiladelphia,201617PhiladelphiaDallas
1151,2302,2016,17,True,Chicago,Minnesota,-6.5,40.0,Team 2,-6.5,44.0,Team 2,48%,52%,61%,39%,59%,41%,201617ChicagoMinnesota,201617MinnesotaChicago
1152,2304,2016,17,True,Carolina,TampaBay,-3.5,47.5,Team 2,-3.5,44.5,Team 2,34%,66%,84%,16%,41%,59%,201617CarolinaTampaBay,201617TampaBayCarolina
1153,2306,2016,17,True,Cleveland,Pittsburgh,-12.5,45.5,Team 2,-3.5,41.5,Team 2,22%,78%,25%,75%,24%,76%,201617ClevelandPittsburgh,201617PittsburghCleveland
1154,2308,2016,17,True,NewOrleans,Atlanta,-6.5,56.0,Team 2,-7.5,58.5,Team 2,48%,52%,57%,43%,52%,48%,201617NewOrleansAtlanta,201617AtlantaNewOrleans
1155,2310,2016,17,True,NewEngland,Miami,-6.0,44.5,Team 1,-8.0,47.0,Team 1,56%,44%,62%,38%,66%,34%,201617NewEnglandMiami,201617MiamiNewEngland
1156,2312,2016,17,True,Arizona,LosAngeles,-7.5,41.5,Team 1,-7.0,39.0,Team 1,69%,31%,58%,42%,54%,46%,201617ArizonaLosAngeles,201617LosAngelesArizona
1157,2314,2016,17,True,KansasCity,SanDiego,-4.5,45.0,Team 1,-6.0,44.5,Team 1,72%,28%,75%,25%,51%,49%,201617KansasCitySanDiego,201617SanDiegoKansasCity
1158,2316,2016,17,True,Seattle,SanFrancisco,-9.0,44.5,Team 1,-11.5,45.0,Team 1,82%,18%,62%,38%,75%,25%,201617SeattleSanFrancisco,201617SanFranciscoSeattle
1159,2318,2016,17,True,Oakland,Denver,-3.5,42.0,Team 2,-1.0,40.0,Team 2,30%,70%,36%,64%,42%,58%,201617OaklandDenver,201617DenverOakland
1160,2320,2016,18,True,Oakland,Houston,-2.5,37.5,Team 2,-4.0,37.5,Team 2,42%,58%,45%,55%,59%,41%,201618OaklandHouston,201618HoustonOakland
1161,2322,2016,18,True,Detroit,Seattle,,,Team 1,-8.5,45.5,Team 2,59%,41%,68%,32%,50%,50%,201618DetroitSeattle,201618SeattleDetroit
1162,2324,2016,18,True,Miami,Pittsburgh,-10.0,47.5,Team 2,-12.0,47.5,Team 2,51%,49%,51%,49%,41%,59%,201618MiamiPittsburgh,201618PittsburghMiami
1163,2326,2016,18,True,NYGiants,GreenBay,-3.5,44.5,Team 2,-5.0,46.5,Team 2,46%,54%,67%,33%,62%,38%,201618NYGiantsGreenBay,201618GreenBayNYGiants
1164,2328,2016,19,True,Seattle,Atlanta,-4.0,49.5,Team 2,-6.5,51.5,Team 2,50%,50%,76%,24%,74%,26%,201619SeattleAtlanta,201619AtlantaSeattle
1165,2330,2016,19,True,Houston,NewEngland,-16.0,45.0,Team 2,-16.5,44.5,Team 2,32%,68%,62%,38%,56%,44%,201619HoustonNewEngland,201619NewEnglandHouston
1166,2332,2016,19,True,Pittsburgh,KansasCity,0.0,46.0,No Favorite,-2.0,45.5,Team 2,56%,44%,63%,37%,61%,39%,201619PittsburghKansasCity,201619KansasCityPittsburgh
1167,2334,2016,19,True,GreenBay,Dallas,-4.0,51.5,Team 2,-5.0,53.5,Team 2,56%,44%,76%,24%,77%,23%,201619GreenBayDallas,201619DallasGreenBay
1168,2336,2016,20,True,GreenBay,Atlanta,-4.0,61.0,Team 2,-6.0,61.0,Team 2,65%,35%,63%,37%,72%,28%,201620GreenBayAtlanta,201620AtlantaGreenBay
1169,2338,2016,20,True,Pittsburgh,NewEngland,,,Team 1,-5.5,49.5,Team 2,45%,55%,66%,34%,60%,40%,201620PittsburghNewEngland,201620NewEnglandPittsburgh
1170,2340,2016,21,True,AFC,NFC,-4.5,68.5,Team 2,-4.0,80.0,Team 2,34%,66%,77%,23%,69%,31%,201621AFCNFC,201621NFCAFC
1171,2342,2016,22,True,NewEngland,Atlanta,0.0,56.5,No Favorite,-3.0,57.0,Team 1,63%,37%,52%,48%,47%,53%,201622NewEnglandAtlanta,201622AtlantaNewEngland
