,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
79,158,2016,3,True,Washington,NYGiants,29,27,56,20163WashingtonNYGiants,20163NYGiantsWashington
80,160,2016,3,True,Cleveland,Miami,24,30,54,20163ClevelandMiami,20163MiamiCleveland
81,162,2016,3,True,Baltimore,Jacksonville,19,17,36,20163BaltimoreJacksonville,20163JacksonvilleBaltimore
82,164,2016,3,True,Detroit,GreenBay,27,34,61,20163DetroitGreenBay,20163GreenBayDetroit
83,166,2016,3,True,Denver,Cincinnati,29,17,46,20163DenverCincinnati,20163CincinnatiDenver
84,168,2016,3,True,Minnesota,Carolina,22,10,32,20163MinnesotaCarolina,20163CarolinaMinnesota
85,170,2016,3,True,LosAngeles,TampaBay,37,32,69,20163LosAngelesTampaBay,20163TampaBayLosAngeles
86,172,2016,3,True,SanFrancisco,Seattle,18,37,55,20163SanFranciscoSeattle,20163SeattleSanFrancisco
87,174,2016,3,True,NYJets,KansasCity,3,24,27,20163NYJetsKansasCity,20163KansasCityNYJets
88,176,2016,3,True,SanDiego,Indianapolis,22,26,48,20163SanDiegoIndianapolis,20163IndianapolisSanDiego
89,178,2016,3,True,Pittsburgh,Philadelphia,3,34,37,20163PittsburghPhiladelphia,20163PhiladelphiaPittsburgh
90,180,2016,3,True,Chicago,Dallas,17,31,48,20163ChicagoDallas,20163DallasChicago
91,182,2016,3,True,Atlanta,NewOrleans,45,32,77,20163AtlantaNewOrleans,20163NewOrleansAtlanta
92,184,2016,4,True,Miami,Cincinnati,7,22,29,20164MiamiCincinnati,20164CincinnatiMiami
93,186,2016,4,True,Indianapolis,Jacksonville,27,30,57,20164IndianapolisJacksonville,20164JacksonvilleIndianapolis
94,188,2016,4,True,Tennessee,Houston,20,27,47,20164TennesseeHouston,20164HoustonTennessee
95,190,2016,4,True,Cleveland,Washington,20,31,51,20164ClevelandWashington,20164WashingtonCleveland
96,192,2016,4,True,Seattle,NYJets,27,17,44,20164SeattleNYJets,20164NYJetsSeattle
97,194,2016,4,True,Buffalo,NewEngland,16,0,16,20164BuffaloNewEngland,20164NewEnglandBuffalo
98,196,2016,4,True,Carolina,Atlanta,33,48,81,20164CarolinaAtlanta,20164AtlantaCarolina
99,198,2016,4,True,Oakland,Baltimore,28,27,55,20164OaklandBaltimore,20164BaltimoreOakland
