,_id,Team,Final,Season,Week
145,5f993e482aa4ba0deeabcaa2,Oakland (1-1),28,2016,2
146,5f993e482aa4ba0deeabcaa3,Indianapolis (0-2),20,2016,2
147,5f993e482aa4ba0deeabcaa4,Denver (2-0),34,2016,2
148,5f993e482aa4ba0deeabcaa5,Green Bay (1-1),14,2016,2
149,5f993e482aa4ba0deeabcaa6,Minnesota (2-0),17,2016,2
150,5f993e482aa4ba0deeabcaa7,Philadelphia (2-0),29,2016,2
151,5f993e482aa4ba0deeabcaa8,Chicago (0-2),14,2016,2
152,5f993e482aa4ba0deeabcaaa,Houston (2-1),0,2016,3
153,5f993e482aa4ba0deeabcaab,New England (3-0),27,2016,3
154,5f993e482aa4ba0deeabcaac,Arizona (1-2),18,2016,3
155,5f993e482aa4ba0deeabcaad,Buffalo (1-2),33,2016,3
156,5f993e482aa4ba0deeabcaae,Oakland (2-1),17,2016,3
157,5f993e482aa4ba0deeabcaaf,Tennessee (1-2),10,2016,3
158,5f993e482aa4ba0deeabcab0,Washington (1-2),29,2016,3
159,5f993e482aa4ba0deeabcab1,NY Giants (2-1),27,2016,3
160,5f993e482aa4ba0deeabcab2,Cleveland (0-3),24,2016,3
161,5f993e482aa4ba0deeabcab3,Miami (1-2),30,2016,3
162,5f993e482aa4ba0deeabcab4,Baltimore (3-0),19,2016,3
163,5f993e482aa4ba0deeabcab5,Jacksonville (0-3),17,2016,3
164,5f993e482aa4ba0deeabcab6,Detroit (1-2),27,2016,3
165,5f993e482aa4ba0deeabcab7,Green Bay (2-1),34,2016,3
166,5f993e482aa4ba0deeabcab8,Denver (3-0),29,2016,3
167,5f993e482aa4ba0deeabcab9,Cincinnati (1-2),17,2016,3
168,5f993e482aa4ba0deeabcaba,Minnesota (3-0),22,2016,3
169,5f993e482aa4ba0deeabcabb,Carolina (1-2),10,2016,3
170,5f993e482aa4ba0deeabcabc,Los Angeles (2-1),37,2016,3
171,5f993e482aa4ba0deeabcabd,Tampa Bay (1-2),32,2016,3
172,5f993e482aa4ba0deeabcabe,San Francisco (1-2),18,2016,3
173,5f993e482aa4ba0deeabcabf,Seattle (2-1),37,2016,3
174,5f993e482aa4ba0deeabcac0,NY Jets (1-2),3,2016,3
175,5f993e482aa4ba0deeabcac1,Kansas City (2-1),24,2016,3
176,5f993e482aa4ba0deeabcac2,San Diego (1-2),22,2016,3
177,5f993e482aa4ba0deeabcac3,Indianapolis (1-2),26,2016,3
