,index_x,Season_x,Week_x,Include_x,Team 1_x,Team 2_x,Spread Open,O/U Open,Open Favorite,Spread Close,O/U Close,Close Favorite,Spread Consensus Team 1,Spread Consensus Team 2,Over Consensus,Under Consensus,Moneyline Consensus Team 1,Moneyline Consensus Team 2,Game ID 1,Game ID 2,index_y,Season_y,Week_y,Include_y,Team 1_y,Team 2_y,Team 1 Final,Team 2 Final,Total Final
37,74,2020,3,True,SanFrancisco,NYGiants,-6.5,42.5,Team 1,-3.0,43.5,Team 1,42%,58%,30%,70%,30%,70%,20203SanFranciscoNYGiants,20203NYGiantsSanFrancisco,2212,2020,3,True,SanFrancisco,NYGiants,36.0,9.0,45.0
38,76,2020,3,True,Tennessee,Minnesota,0.0,45.5,No Favorite,-2.5,49.0,Team 1,54%,46%,57%,43%,64%,36%,20203TennesseeMinnesota,20203MinnesotaTennessee,2208,2020,3,True,Tennessee,Minnesota,31.0,30.0,61.0
39,78,2020,3,True,Washington,Cleveland,-5.5,45.5,Team 2,-7.0,45.0,Team 2,35%,65%,66%,34%,24%,76%,20203WashingtonCleveland,20203ClevelandWashington,2206,2020,3,True,Washington,Cleveland,20.0,34.0,54.0
40,80,2020,3,True,Cincinnati,Philadelphia,-5.5,45.5,Team 2,-5.5,47.0,Team 2,59%,41%,80%,20%,28%,72%,20203CincinnatiPhiladelphia,20203PhiladelphiaCincinnati,2214,2020,3,True,Cincinnati,Philadelphia,23.0,23.0,46.0
41,82,2020,3,True,Chicago,Atlanta,-3.5,48.0,Team 2,-2.5,46.5,Team 2,32%,68%,76%,24%,31%,69%,20203ChicagoAtlanta,20203AtlantaChicago,2202,2020,3,True,Chicago,Atlanta,30.0,26.0,56.0
42,84,2020,3,True,NYJets,Indianapolis,-7.0,45.0,Team 2,-11.5,44.0,Team 2,48%,52%,66%,34%,9%,91%,20203NYJetsIndianapolis,20203IndianapolisNYJets,2218,2020,3,True,NYJets,Indianapolis,7.0,36.0,43.0
43,86,2020,3,True,Carolina,LAChargers,-6.5,44.0,Team 2,-6.0,43.5,Team 2,37%,63%,57%,43%,52%,48%,20203CarolinaLAChargers,20203LAChargersCarolina,2220,2020,3,True,Carolina,LAChargers,21.0,16.0,37.0
44,88,2020,3,True,Detroit,Arizona,-3.5,51.0,Team 2,-5.0,55.5,Team 2,33%,67%,65%,35%,30%,70%,20203DetroitArizona,20203ArizonaDetroit,2222,2020,3,True,Detroit,Arizona,26.0,23.0,49.0
45,90,2020,3,True,TampaBay,Denver,-3.5,44.5,Team 1,-6.0,42.5,Team 1,81%,19%,55%,45%,89%,11%,20203TampaBayDenver,20203DenverTampaBay,2224,2020,3,True,TampaBay,Denver,28.0,10.0,38.0
46,92,2020,3,True,Dallas,Seattle,-3.5,55.0,Team 2,-5.5,57.0,Team 2,55%,45%,59%,41%,60%,40%,20203DallasSeattle,20203SeattleDallas,2226,2020,3,True,Dallas,Seattle,31.0,38.0,69.0
47,94,2020,3,True,GreenBay,NewOrleans,-6.5,51.5,Team 2,-3.0,52.0,Team 2,55%,45%,73%,27%,51%,49%,20203GreenBayNewOrleans,20203NewOrleansGreenBay,2228,2020,3,True,GreenBay,NewOrleans,37.0,30.0,67.0
48,96,2020,3,True,KansasCity,Baltimore,-2.5,52.0,Team 2,-3.5,55.0,Team 2,47%,53%,70%,30%,57%,43%,20203KansasCityBaltimore,20203BaltimoreKansasCity,2230,2020,3,True,KansasCity,Baltimore,34.0,20.0,54.0
49,98,2020,4,True,Denver,NYJets,,,Team 1,-1.0,41.0,Team 2,34%,66%,64%,36%,33%,67%,20204DenverNYJets,20204NYJetsDenver,2232,2020,4,True,Denver,NYJets,37.0,28.0,65.0
50,100,2020,4,True,Indianapolis,Chicago,0.0,45.0,No Favorite,-3.5,43.5,Team 1,43%,57%,60%,40%,42%,58%,20204IndianapolisChicago,20204ChicagoIndianapolis,2252,2020,4,True,Indianapolis,Chicago,19.0,11.0,30.0
51,102,2020,4,True,NewOrleans,Detroit,-4.0,56.0,Team 1,-3.0,52.0,Team 1,65%,35%,83%,17%,60%,40%,20204NewOrleansDetroit,20204DetroitNewOrleans,2240,2020,4,True,NewOrleans,Detroit,35.0,29.0,64.0
52,104,2020,4,True,Arizona,Carolina,-3.5,51.0,Team 1,-3.0,52.0,Team 1,76%,24%,71%,29%,80%,20%,20204ArizonaCarolina,20204CarolinaArizona,2234,2020,4,True,Arizona,Carolina,21.0,31.0,52.0
53,106,2020,4,True,Jacksonville,Cincinnati,-3.0,48.0,Team 2,-1.5,49.5,Team 2,43%,57%,58%,42%,49%,51%,20204JacksonvilleCincinnati,20204CincinnatiJacksonville,2236,2020,4,True,Jacksonville,Cincinnati,25.0,33.0,58.0
54,108,2020,4,True,Cleveland,Dallas,-4.0,54.0,Team 2,-3.5,56.5,Team 2,27%,73%,75%,25%,17%,83%,20204ClevelandDallas,20204DallasCleveland,2238,2020,4,True,Cleveland,Dallas,49.0,38.0,87.0
55,110,2020,4,True,Minnesota,Houston,-4.0,49.5,Team 2,-3.5,53.0,Team 2,42%,58%,79%,21%,67%,33%,20204MinnesotaHouston,20204HoustonMinnesota,2242,2020,4,True,Minnesota,Houston,31.0,23.0,54.0
56,112,2020,4,True,Seattle,Miami,-6.5,54.0,Team 1,-4.5,55.0,Team 1,70%,30%,72%,28%,89%,11%,20204SeattleMiami,20204MiamiSeattle,2244,2020,4,True,Seattle,Miami,31.0,23.0,54.0
57,114,2020,4,True,LAChargers,TampaBay,-4.5,45.5,Team 2,-7.5,42.0,Team 2,29%,71%,68%,32%,18%,82%,20204LAChargersTampaBay,20204TampaBayLAChargers,2246,2020,4,True,LAChargers,TampaBay,31.0,38.0,69.0
58,118,2020,4,True,Baltimore,Washington,-12.0,52.0,Team 1,-14.0,45.0,Team 1,83%,17%,63%,37%,95%,5%,20204BaltimoreWashington,20204WashingtonBaltimore,2248,2020,4,True,Baltimore,Washington,31.0,17.0,48.0
59,120,2020,4,True,NYGiants,LARams,-9.0,47.0,Team 2,-13.5,50.0,Team 2,13%,87%,72%,28%,18%,82%,20204NYGiantsLARams,20204LARamsNYGiants,2250,2020,4,True,NYGiants,LARams,9.0,17.0,26.0
60,122,2020,4,True,NewEngland,KansasCity,-8.0,53.5,Team 2,-7.0,49.5,Team 2,23%,77%,38%,62%,11%,89%,20204NewEnglandKansasCity,20204KansasCityNewEngland,2258,2020,4,True,NewEngland,KansasCity,10.0,26.0,36.0
61,130,2020,4,True,NewEngland,KansasCity,-11.5,50.5,Team 2,-11.5,48.5,Team 2,33%,67%,62%,38%,8%,92%,20204NewEnglandKansasCity,20204KansasCityNewEngland,2258,2020,4,True,NewEngland,KansasCity,10.0,26.0,36.0
62,124,2020,4,True,Buffalo,LasVegas,-2.5,49.5,Team 1,-3.0,53.0,Team 1,72%,28%,67%,33%,45%,55%,20204BuffaloLasVegas,20204LasVegasBuffalo,2254,2020,4,True,Buffalo,LasVegas,30.0,23.0,53.0
63,126,2020,4,True,Philadelphia,SanFrancisco,-3.0,45.5,Team 2,-8.0,45.5,Team 2,54%,46%,75%,25%,46%,54%,20204PhiladelphiaSanFrancisco,20204SanFranciscoPhiladelphia,2256,2020,4,True,Philadelphia,SanFrancisco,25.0,20.0,45.0
64,128,2020,4,True,Atlanta,GreenBay,-5.0,57.5,Team 2,-5.0,56.5,Team 2,36%,64%,68%,32%,45%,55%,20204AtlantaGreenBay,20204GreenBayAtlanta,2260,2020,4,True,Atlanta,GreenBay,16.0,30.0,46.0
65,132,2020,5,True,TampaBay,Chicago,-3.0,45.5,Team 1,-3.5,44.0,Team 1,74%,26%,66%,34%,71%,29%,20205TampaBayChicago,20205ChicagoTampaBay,2262,2020,5,True,TampaBay,Chicago,19.0,20.0,39.0
66,134,2020,5,True,Carolina,Atlanta,-3.5,55.0,Team 2,-2.5,53.5,Team 2,34%,66%,72%,28%,56%,44%,20205CarolinaAtlanta,20205AtlantaCarolina,2264,2020,5,True,Carolina,Atlanta,23.0,16.0,39.0
67,136,2020,5,True,LasVegas,KansasCity,-11.5,43.0,Team 2,-10.5,54.5,Team 2,37%,63%,68%,32%,24%,76%,20205LasVegasKansasCity,20205KansasCityLasVegas,2270,2020,5,True,LasVegas,KansasCity,40.0,32.0,72.0
68,140,2020,5,True,LARams,Washington,-9.5,40.0,Team 1,-7.0,44.5,Team 1,68%,32%,55%,45%,70%,30%,20205LARamsWashington,20205WashingtonLARams,2276,2020,5,True,LARams,Washington,30.0,10.0,40.0
69,142,2020,5,True,Jacksonville,Houston,-6.5,47.0,Team 2,-6.5,54.5,Team 2,32%,68%,73%,27%,18%,82%,20205JacksonvilleHouston,20205HoustonJacksonville,2268,2020,5,True,Jacksonville,Houston,14.0,30.0,44.0
70,144,2020,5,True,Buffalo,Tennessee,,,Team 1,-1.0,49.0,Team 1,n/a,n/a,n/a,n/a,n/a,n/a,20205BuffaloTennessee,20205TennesseeBuffalo,2288,2020,5,True,Buffalo,Tennessee,16.0,42.0,58.0
71,164,2020,5,True,Buffalo,Tennessee,-6.5,53.0,Team 1,-3.0,52.0,Team 1,69%,31%,52%,48%,69%,31%,20205BuffaloTennessee,20205TennesseeBuffalo,2288,2020,5,True,Buffalo,Tennessee,16.0,42.0,58.0
72,146,2020,5,True,Arizona,NYJets,-8.5,44.5,Team 1,-7.0,48.5,Team 1,68%,32%,44%,56%,88%,12%,20205ArizonaNYJets,20205NYJetsArizona,2272,2020,5,True,Arizona,NYJets,30.0,10.0,40.0
73,148,2020,5,True,Philadelphia,Pittsburgh,-7.0,44.0,Team 2,-7.5,44.0,Team 2,34%,66%,61%,39%,18%,82%,20205PhiladelphiaPittsburgh,20205PittsburghPhiladelphia,2274,2020,5,True,Philadelphia,Pittsburgh,29.0,38.0,67.0
74,150,2020,5,True,Cincinnati,Baltimore,-13.0,46.0,Team 2,-12.5,49.0,Team 2,63%,37%,77%,23%,53%,47%,20205CincinnatiBaltimore,20205BaltimoreCincinnati,2266,2020,5,True,Cincinnati,Baltimore,3.0,27.0,30.0
75,152,2020,5,True,Miami,SanFrancisco,-8.5,46.5,Team 2,-8.0,50.5,Team 2,40%,60%,58%,42%,41%,59%,20205MiamiSanFrancisco,20205SanFranciscoMiami,2278,2020,5,True,Miami,SanFrancisco,43.0,17.0,60.0
76,154,2020,5,True,NYGiants,Dallas,-11.0,44.0,Team 2,-7.5,52.0,Team 2,34%,66%,59%,41%,7%,93%,20205NYGiantsDallas,20205DallasNYGiants,2282,2020,5,True,NYGiants,Dallas,34.0,37.0,71.0
77,156,2020,5,True,Indianapolis,Cleveland,-2.5,46.5,Team 1,-1.0,49.0,Team 2,36%,64%,39%,61%,53%,47%,20205IndianapolisCleveland,20205ClevelandIndianapolis,2280,2020,5,True,Indianapolis,Cleveland,23.0,32.0,55.0
78,158,2020,5,True,Minnesota,Seattle,-9.0,49.5,Team 2,-6.5,54.0,Team 2,33%,67%,81%,19%,20%,80%,20205MinnesotaSeattle,20205SeattleMinnesota,2284,2020,5,True,Minnesota,Seattle,26.0,27.0,53.0
79,160,2020,5,True,LAChargers,NewOrleans,-7.5,50.0,Team 2,-7.0,49.0,Team 2,31%,69%,69%,31%,19%,81%,20205LAChargersNewOrleans,20205NewOrleansLAChargers,2286,2020,5,True,LAChargers,NewOrleans,27.0,30.0,57.0
80,166,2020,6,True,Chicago,Carolina,-3.0,44.0,Team 2,-1.5,45.0,Team 2,46%,54%,65%,35%,65%,35%,20206ChicagoCarolina,20206CarolinaChicago,2292,2020,6,True,Chicago,Carolina,23.0,16.0,39.0
81,168,2020,6,True,Detroit,Jacksonville,-2.5,52.5,Team 1,-3.0,53.0,Team 1,76%,24%,71%,29%,74%,26%,20206DetroitJacksonville,20206JacksonvilleDetroit,2296,2020,6,True,Detroit,Jacksonville,34.0,16.0,50.0
82,170,2020,6,True,Atlanta,Minnesota,-3.5,57.0,Team 2,-3.5,53.5,Team 2,30%,70%,89%,11%,29%,71%,20206AtlantaMinnesota,20206MinnesotaAtlanta,2298,2020,6,True,Atlanta,Minnesota,40.0,23.0,63.0
83,172,2020,6,True,Houston,Tennessee,-5.5,55.0,Team 2,-4.0,52.0,Team 2,41%,59%,70%,30%,18%,82%,20206HoustonTennessee,20206TennesseeHouston,2306,2020,6,True,Houston,Tennessee,36.0,42.0,78.0
84,174,2020,6,True,Washington,NYGiants,-3.5,44.5,Team 2,-1.5,42.0,Team 2,56%,44%,51%,49%,53%,47%,20206WashingtonNYGiants,20206NYGiantsWashington,2300,2020,6,True,Washington,NYGiants,19.0,20.0,39.0
85,176,2020,6,True,Cleveland,Pittsburgh,-5.5,51.0,Team 2,-3.0,50.0,Team 2,28%,72%,67%,33%,44%,56%,20206ClevelandPittsburgh,20206PittsburghCleveland,2304,2020,6,True,Cleveland,Pittsburgh,7.0,38.0,45.0
86,178,2020,6,True,Baltimore,Philadelphia,-7.0,49.0,Team 1,-10.0,46.5,Team 1,59%,41%,69%,31%,75%,25%,20206BaltimorePhiladelphia,20206PhiladelphiaBaltimore,2302,2020,6,True,Baltimore,Philadelphia,30.0,28.0,58.0
87,180,2020,6,True,Cincinnati,Indianapolis,-9.5,46.5,Team 2,-7.5,46.0,Team 2,57%,43%,65%,35%,23%,77%,20206CincinnatiIndianapolis,20206IndianapolisCincinnati,2294,2020,6,True,Cincinnati,Indianapolis,27.0,31.0,58.0
88,182,2020,6,True,GreenBay,TampaBay,-3.0,52.0,Team 2,-2.5,55.0,Team 1,76%,24%,81%,19%,51%,49%,20206GreenBayTampaBay,20206TampaBayGreenBay,2310,2020,6,True,GreenBay,TampaBay,10.0,38.0,48.0
89,184,2020,6,True,LARams,SanFrancisco,-3.0,49.5,Team 2,-2.5,51.0,Team 1,68%,32%,69%,31%,62%,38%,20206LARamsSanFrancisco,20206SanFranciscoLARams,2312,2020,6,True,LARams,SanFrancisco,16.0,24.0,40.0
90,186,2020,6,True,NYJets,Miami,-8.0,49.5,Team 2,-9.0,46.5,Team 2,33%,67%,62%,38%,15%,85%,20206NYJetsMiami,20206MiamiNYJets,2308,2020,6,True,NYJets,Miami,0.0,24.0,24.0
91,188,2020,6,True,Denver,NewEngland,,,Team 1,,,Team 1,23%,77%,35%,65%,8%,92%,20206DenverNewEngland,20206NewEnglandDenver,2290,2020,6,True,Denver,NewEngland,18.0,12.0,30.0
92,190,2020,6,True,Arizona,Dallas,-3.0,52.0,Team 2,-1.0,56.0,Team 2,41%,59%,72%,28%,56%,44%,20206ArizonaDallas,20206DallasArizona,2316,2020,6,True,Arizona,Dallas,38.0,10.0,48.0
93,192,2020,6,True,KansasCity,Buffalo,-3.0,55.0,Team 1,-5.5,55.0,Team 1,69%,31%,78%,22%,85%,15%,20206KansasCityBuffalo,20206BuffaloKansasCity,2314,2020,6,True,KansasCity,Buffalo,26.0,17.0,43.0
94,194,2020,7,True,NYGiants,Philadelphia,-7.0,45.0,Team 2,-5.0,44.5,Team 2,33%,67%,59%,41%,35%,65%,20207NYGiantsPhiladelphia,20207PhiladelphiaNYGiants,2318,2020,7,True,NYGiants,Philadelphia,21.0,22.0,43.0
95,196,2020,7,True,Cleveland,Cincinnati,-4.5,52.0,Team 1,-4.0,50.5,Team 1,71%,29%,62%,38%,69%,31%,20207ClevelandCincinnati,20207CincinnatiCleveland,2324,2020,7,True,Cleveland,Cincinnati,37.0,34.0,71.0
96,198,2020,7,True,Dallas,Washington,-3.5,49.0,Team 1,0.0,45.0,No Favorite,71%,29%,60%,40%,64%,36%,20207DallasWashington,20207WashingtonDallas,2332,2020,7,True,Dallas,Washington,3.0,25.0,28.0
97,200,2020,7,True,Detroit,Atlanta,-1.5,56.5,Team 2,-1.0,55.0,Team 2,53%,47%,80%,20%,53%,47%,20207DetroitAtlanta,20207AtlantaDetroit,2322,2020,7,True,Detroit,Atlanta,23.0,22.0,45.0
98,202,2020,7,True,Carolina,NewOrleans,-7.0,51.0,Team 2,-7.0,50.0,Team 2,52%,48%,76%,24%,68%,32%,20207CarolinaNewOrleans,20207NewOrleansCarolina,2328,2020,7,True,Carolina,NewOrleans,24.0,27.0,51.0
99,204,2020,7,True,Buffalo,NYJets,-10.5,48.0,Team 1,-9.5,46.5,Team 1,73%,27%,60%,40%,93%,7%,20207BuffaloNYJets,20207NYJetsBuffalo,2330,2020,7,True,Buffalo,NYJets,18.0,10.0,28.0
100,206,2020,7,True,GreenBay,Houston,-3.5,56.0,Team 1,-3.0,55.5,Team 1,67%,33%,62%,38%,70%,30%,20207GreenBayHouston,20207HoustonGreenBay,2326,2020,7,True,GreenBay,Houston,35.0,20.0,55.0
101,208,2020,7,True,Seattle,Arizona,-2.5,55.0,Team 1,-3.5,55.5,Team 1,59%,41%,78%,22%,75%,25%,20207SeattleArizona,20207ArizonaSeattle,2342,2020,7,True,Seattle,Arizona,34.0,37.0,71.0
102,210,2020,7,True,SanFrancisco,NewEngland,-5.0,45.5,Team 2,-3.0,44.5,Team 2,36%,64%,69%,31%,46%,54%,20207SanFranciscoNewEngland,20207NewEnglandSanFrancisco,2338,2020,7,True,SanFrancisco,NewEngland,33.0,6.0,39.0
103,212,2020,7,True,KansasCity,Denver,-10.0,49.5,Team 1,-7.0,46.0,Team 1,66%,34%,61%,39%,96%,4%,20207KansasCityDenver,20207DenverKansasCity,2336,2020,7,True,KansasCity,Denver,43.0,16.0,59.0
104,214,2020,7,True,TampaBay,LasVegas,-2.5,53.5,Team 1,-4.0,51.5,Team 1,66%,34%,78%,22%,81%,19%,20207TampaBayLasVegas,20207LasVegasTampaBay,2334,2020,7,True,TampaBay,LasVegas,45.0,20.0,65.0
105,216,2020,7,True,Pittsburgh,Tennessee,-1.0,52.5,Team 2,-1.0,51.0,Team 2,55%,45%,51%,49%,63%,37%,20207PittsburghTennessee,20207TennesseePittsburgh,2320,2020,7,True,Pittsburgh,Tennessee,27.0,24.0,51.0
106,218,2020,7,True,Jacksonville,LAChargers,-7.5,48.0,Team 2,-7.5,48.5,Team 2,45%,55%,75%,25%,36%,64%,20207JacksonvilleLAChargers,20207LAChargersJacksonville,2340,2020,7,True,Jacksonville,LAChargers,29.0,39.0,68.0
