,index,Season,Week,Include,Team 1,Team 2,Spread Open,Spread Close,Spread Consensus Team 1,Spread Consensus Team 2,O/U Open,O/U Close,Over Consensus,Under Consensus,Moneyline Consensus Team 1,Moneyline Consensus Team 2,Game ID 1,Game ID 2
21,42,2020,2,True,Atlanta,Dallas,50.0,53.5,40%,60%,-7.5,-3,86%,14%,35%,65%,20202AtlantaDallas,20202DallasAtlanta
22,44,2020,2,True,SanFrancisco,NYJets,-4,-7,68%,32%,43.5,41.5,36%,64%,76%,24%,20202SanFranciscoNYJets,20202NYJetsSanFrancisco
23,46,2020,2,True,Buffalo,Miami,-3,-5.5,67%,33%,43.0,42.5,69%,31%,64%,36%,20202BuffaloMiami,20202MiamiBuffalo
24,48,2020,2,True,Minnesota,Indianapolis,47.0,49,72%,28%,-3.5,-3.5,73%,27%,80%,20%,20202MinnesotaIndianapolis,20202IndianapolisMinnesota
25,50,2020,2,True,Detroit,GreenBay,46.0,51,27%,73%,-6.5,-6.5,84%,16%,11%,89%,20202DetroitGreenBay,20202GreenBayDetroit
26,52,2020,2,True,NYGiants,Chicago,43.5,42.5,61%,39%,-5,-4.5,73%,27%,62%,38%,20202NYGiantsChicago,20202ChicagoNYGiants
27,54,2020,2,True,Jacksonville,Tennessee,42.5,44.5,45%,55%,-11,-7,64%,36%,38%,62%,20202JacksonvilleTennessee,20202TennesseeJacksonville
28,56,2020,2,True,Washington,Arizona,45.5,46.5,33%,67%,-7,-7,85%,15%,20%,80%,20202WashingtonArizona,20202ArizonaWashington
29,58,2020,2,True,Baltimore,Houston,-6,-7.5,69%,31%,54.5,49.5,80%,20%,58%,42%,20202BaltimoreHouston,20202HoustonBaltimore
30,60,2020,2,True,KansasCity,LAChargers,-5.5,-9,83%,17%,51.5,47.5,64%,36%,90%,10%,20202KansasCityLAChargers,20202LAChargersKansasCity
31,62,2020,2,True,NewEngland,Seattle,44.0,45,35%,65%,-3.5,-4.5,63%,37%,17%,83%,20202NewEnglandSeattle,20202SeattleNewEngland
32,64,2020,2,True,NewOrleans,LasVegas,-5,-4,58%,42%,51.0,47.5,70%,30%,60%,40%,20202NewOrleansLasVegas,20202LasVegasNewOrleans
33,66,2020,3,True,Miami,Jacksonville,PK,49,35%,65%,44.0,-2.5,65%,35%,24%,76%,20203MiamiJacksonville,20203JacksonvilleMiami
34,68,2020,3,True,LasVegas,NewEngland,46.5,47,38%,62%,-6.5,-7,59%,41%,48%,52%,20203LasVegasNewEngland,20203NewEnglandLasVegas
35,70,2020,3,True,LARams,Buffalo,44.5,46.5,42%,58%,-3,-2,66%,34%,51%,49%,20203LARamsBuffalo,20203BuffaloLARams
36,72,2020,3,True,Houston,Pittsburgh,45.0,46.5,52%,48%,-6,-4,80%,20%,9%,91%,20203HoustonPittsburgh,20203PittsburghHouston
37,74,2020,3,True,SanFrancisco,NYGiants,-6.5,-3,42%,58%,42.5,43.5,30%,70%,30%,70%,20203SanFranciscoNYGiants,20203NYGiantsSanFrancisco
38,76,2020,3,True,Tennessee,Minnesota,PK,-2.5,54%,46%,45.5,49,57%,43%,64%,36%,20203TennesseeMinnesota,20203MinnesotaTennessee
39,78,2020,3,True,Washington,Cleveland,45.5,45,35%,65%,-5.5,-7,66%,34%,24%,76%,20203WashingtonCleveland,20203ClevelandWashington
40,80,2020,3,True,Cincinnati,Philadelphia,45.5,47,59%,41%,-5.5,-5.5,80%,20%,28%,72%,20203CincinnatiPhiladelphia,20203PhiladelphiaCincinnati
41,82,2020,3,True,Chicago,Atlanta,48.0,46.5,32%,68%,-3.5,-2.5,76%,24%,31%,69%,20203ChicagoAtlanta,20203AtlantaChicago
42,84,2020,3,True,NYJets,Indianapolis,45.0,44,48%,52%,-7,-11.5,66%,34%,9%,91%,20203NYJetsIndianapolis,20203IndianapolisNYJets
43,86,2020,3,True,Carolina,LAChargers,44.0,43.5,37%,63%,-6.5,-6,57%,43%,52%,48%,20203CarolinaLAChargers,20203LAChargersCarolina
44,88,2020,3,True,Detroit,Arizona,51.0,55.5,33%,67%,-3.5,-5,65%,35%,30%,70%,20203DetroitArizona,20203ArizonaDetroit
45,90,2020,3,True,TampaBay,Denver,-3.5,-6,81%,19%,44.5,42.5,55%,45%,89%,11%,20203TampaBayDenver,20203DenverTampaBay
46,92,2020,3,True,Dallas,Seattle,55.0,57,55%,45%,-3.5,-5.5,59%,41%,60%,40%,20203DallasSeattle,20203SeattleDallas
47,94,2020,3,True,GreenBay,NewOrleans,51.5,52,55%,45%,-6.5,-3,73%,27%,51%,49%,20203GreenBayNewOrleans,20203NewOrleansGreenBay
48,96,2020,3,True,KansasCity,Baltimore,52.0,55,47%,53%,-2.5,-3.5,70%,30%,57%,43%,20203KansasCityBaltimore,20203BaltimoreKansasCity
49,98,2020,4,True,Denver,NYJets,,41,34%,66%,,-1,64%,36%,33%,67%,20204DenverNYJets,20204NYJetsDenver
50,100,2020,4,True,Indianapolis,Chicago,PK,-3.5,43%,57%,45.0,43.5,60%,40%,42%,58%,20204IndianapolisChicago,20204ChicagoIndianapolis
51,102,2020,4,True,NewOrleans,Detroit,-4,-3,65%,35%,56.0,52,83%,17%,60%,40%,20204NewOrleansDetroit,20204DetroitNewOrleans
52,104,2020,4,True,Arizona,Carolina,-3.5,-3,76%,24%,51.0,52,71%,29%,80%,20%,20204ArizonaCarolina,20204CarolinaArizona
53,106,2020,4,True,Jacksonville,Cincinnati,48.0,49.5,43%,57%,-3,-1.5,58%,42%,49%,51%,20204JacksonvilleCincinnati,20204CincinnatiJacksonville
54,108,2020,4,True,Cleveland,Dallas,54.0,56.5,27%,73%,-4,-3.5,75%,25%,17%,83%,20204ClevelandDallas,20204DallasCleveland
55,110,2020,4,True,Minnesota,Houston,49.5,53,42%,58%,-4,-3.5,79%,21%,67%,33%,20204MinnesotaHouston,20204HoustonMinnesota
56,112,2020,4,True,Seattle,Miami,-6.5,-4.5,70%,30%,54.0,55,72%,28%,89%,11%,20204SeattleMiami,20204MiamiSeattle
57,114,2020,4,True,LAChargers,TampaBay,45.5,42,29%,71%,-4.5,-7.5,68%,32%,18%,82%,20204LAChargersTampaBay,20204TampaBayLAChargers
58,116,2020,4,True,Pittsburgh,Tennessee,47.5,-1,n/a,n/a,-3,47,n/a,n/a,n/a,n/a,20204PittsburghTennessee,20204TennesseePittsburgh
59,118,2020,4,True,Baltimore,Washington,-12,-14,83%,17%,52.0,45,63%,37%,95%,5%,20204BaltimoreWashington,20204WashingtonBaltimore
60,120,2020,4,True,NYGiants,LARams,47.0,50,13%,87%,-9,-13.5,72%,28%,18%,82%,20204NYGiantsLARams,20204LARamsNYGiants
61,122,2020,4,True,NewEngland,KansasCity,53.5,49.5,23%,77%,-8,-7,38%,62%,11%,89%,20204NewEnglandKansasCity,20204KansasCityNewEngland
62,124,2020,4,True,Buffalo,LasVegas,-2.5,-3,72%,28%,49.5,53,67%,33%,45%,55%,20204BuffaloLasVegas,20204LasVegasBuffalo
63,126,2020,4,True,Philadelphia,SanFrancisco,45.5,45.5,54%,46%,-3,-8,75%,25%,46%,54%,20204PhiladelphiaSanFrancisco,20204SanFranciscoPhiladelphia
64,128,2020,4,True,Atlanta,GreenBay,57.5,56.5,36%,64%,-5,-5,68%,32%,45%,55%,20204AtlantaGreenBay,20204GreenBayAtlanta
65,130,2020,4,True,NewEngland,KansasCity,50.5,48.5,33%,67%,-11.5,-11.5,62%,38%,8%,92%,20204NewEnglandKansasCity,20204KansasCityNewEngland
66,132,2020,5,True,TampaBay,Chicago,-3,-3.5,74%,26%,45.5,44,66%,34%,71%,29%,20205TampaBayChicago,20205ChicagoTampaBay
67,134,2020,5,True,Carolina,Atlanta,55.0,53.5,34%,66%,-3.5,-2.5,72%,28%,56%,44%,20205CarolinaAtlanta,20205AtlantaCarolina
68,136,2020,5,True,LasVegas,KansasCity,43.0,54.5,37%,63%,-11.5,-10.5,68%,32%,24%,76%,20205LasVegasKansasCity,20205KansasCityLasVegas
69,138,2020,5,True,Denver,NewEngland,48.5,48.5,n/a,n/a,-10,-5,n/a,n/a,n/a,n/a,20205DenverNewEngland,20205NewEnglandDenver
70,140,2020,5,True,LARams,Washington,-9.5,-7,68%,32%,40.0,44.5,55%,45%,70%,30%,20205LARamsWashington,20205WashingtonLARams
71,142,2020,5,True,Jacksonville,Houston,47.0,54.5,32%,68%,-6.5,-6.5,73%,27%,18%,82%,20205JacksonvilleHouston,20205HoustonJacksonville
72,144,2020,5,True,Buffalo,Tennessee,,-1,n/a,n/a,,49,n/a,n/a,n/a,n/a,20205BuffaloTennessee,20205TennesseeBuffalo
73,146,2020,5,True,Arizona,NYJets,-8.5,-7,68%,32%,44.5,48.5,44%,56%,88%,12%,20205ArizonaNYJets,20205NYJetsArizona
74,148,2020,5,True,Philadelphia,Pittsburgh,44.0,44,34%,66%,-7,-7.5,61%,39%,18%,82%,20205PhiladelphiaPittsburgh,20205PittsburghPhiladelphia
75,150,2020,5,True,Cincinnati,Baltimore,46.0,49,63%,37%,-13,-12.5,77%,23%,53%,47%,20205CincinnatiBaltimore,20205BaltimoreCincinnati
76,152,2020,5,True,Miami,SanFrancisco,46.5,50.5,40%,60%,-8.5,-8,58%,42%,41%,59%,20205MiamiSanFrancisco,20205SanFranciscoMiami
77,154,2020,5,True,NYGiants,Dallas,44.0,52,34%,66%,-11,-7.5,59%,41%,7%,93%,20205NYGiantsDallas,20205DallasNYGiants
78,156,2020,5,True,Indianapolis,Cleveland,-2.5,49,36%,64%,46.5,-1,39%,61%,53%,47%,20205IndianapolisCleveland,20205ClevelandIndianapolis
79,158,2020,5,True,Minnesota,Seattle,49.5,54,33%,67%,-9,-6.5,81%,19%,20%,80%,20205MinnesotaSeattle,20205SeattleMinnesota
80,160,2020,5,True,LAChargers,NewOrleans,50.0,49,31%,69%,-7.5,-7,69%,31%,19%,81%,20205LAChargersNewOrleans,20205NewOrleansLAChargers
81,162,2020,5,True,Denver,NewEngland,,,,,-5,-8,,,,,20205DenverNewEngland,20205NewEnglandDenver
82,164,2020,5,True,Buffalo,Tennessee,-6.5,-3,69%,31%,53,52,52%,48%,69%,31%,20205BuffaloTennessee,20205TennesseeBuffalo
83,166,2020,6,True,Chicago,Carolina,44,45,46%,54%,-3,-1.5,65%,35%,65%,35%,20206ChicagoCarolina,20206CarolinaChicago
84,168,2020,6,True,Detroit,Jacksonville,-2.5,-3,76%,24%,52.5,53,71%,29%,74%,26%,20206DetroitJacksonville,20206JacksonvilleDetroit
85,170,2020,6,True,Atlanta,Minnesota,57.0,53.5,30%,70%,-3.5,-3.5,89%,11%,29%,71%,20206AtlantaMinnesota,20206MinnesotaAtlanta
86,172,2020,6,True,Houston,Tennessee,55,52,41%,59%,-5.5,-4,70%,30%,18%,82%,20206HoustonTennessee,20206TennesseeHouston
87,174,2020,6,True,Washington,NYGiants,44.5,42,56%,44%,-3.5,-1.5,51%,49%,53%,47%,20206WashingtonNYGiants,20206NYGiantsWashington
88,176,2020,6,True,Cleveland,Pittsburgh,51.0,50,28%,72%,-5.5,-3,67%,33%,44%,56%,20206ClevelandPittsburgh,20206PittsburghCleveland
89,178,2020,6,True,Baltimore,Philadelphia,-7,-10,59%,41%,49,46.5,69%,31%,75%,25%,20206BaltimorePhiladelphia,20206PhiladelphiaBaltimore
90,180,2020,6,True,Cincinnati,Indianapolis,46.5,46,57%,43%,-9.5,-7.5,65%,35%,23%,77%,20206CincinnatiIndianapolis,20206IndianapolisCincinnati
91,182,2020,6,True,GreenBay,TampaBay,52,-2.5,76%,24%,-3,55,81%,19%,51%,49%,20206GreenBayTampaBay,20206TampaBayGreenBay
92,184,2020,6,True,LARams,SanFrancisco,49.5,-2.5,68%,32%,-3,51,69%,31%,62%,38%,20206LARamsSanFrancisco,20206SanFranciscoLARams
93,186,2020,6,True,NYJets,Miami,49.5,46.5,33%,67%,-8,-9,62%,38%,15%,85%,20206NYJetsMiami,20206MiamiNYJets
94,188,2020,6,True,Denver,NewEngland,,,23%,77%,,,35%,65%,8%,92%,20206DenverNewEngland,20206NewEnglandDenver
95,190,2020,6,True,Arizona,Dallas,52,56,41%,59%,-3,-1,72%,28%,56%,44%,20206ArizonaDallas,20206DallasArizona
96,192,2020,6,True,KansasCity,Buffalo,-3,-5.5,69%,31%,55.0,55,78%,22%,85%,15%,20206KansasCityBuffalo,20206BuffaloKansasCity
97,194,2020,7,True,NYGiants,Philadelphia,45.0,44.5,33%,67%,-7,-5,59%,41%,35%,65%,20207NYGiantsPhiladelphia,20207PhiladelphiaNYGiants
98,196,2020,7,True,Cleveland,Cincinnati,-4.5,-4,71%,29%,52.0,50.5,62%,38%,69%,31%,20207ClevelandCincinnati,20207CincinnatiCleveland
99,198,2020,7,True,Dallas,Washington,-3.5,PK,71%,29%,49.0,45,60%,40%,64%,36%,20207DallasWashington,20207WashingtonDallas
100,200,2020,7,True,Detroit,Atlanta,56.5,55,53%,47%,-1.5,-1,80%,20%,53%,47%,20207DetroitAtlanta,20207AtlantaDetroit
101,202,2020,7,True,Carolina,NewOrleans,51.0,50,52%,48%,-7,-7,76%,24%,68%,32%,20207CarolinaNewOrleans,20207NewOrleansCarolina
102,204,2020,7,True,Buffalo,NYJets,-10.5,-9.5,73%,27%,48.0,46.5,60%,40%,93%,7%,20207BuffaloNYJets,20207NYJetsBuffalo
103,206,2020,7,True,GreenBay,Houston,-3.5,-3,67%,33%,56.0,55.5,62%,38%,70%,30%,20207GreenBayHouston,20207HoustonGreenBay
104,208,2020,7,True,Seattle,Arizona,-2.5,-3.5,59%,41%,55.0,55.5,78%,22%,75%,25%,20207SeattleArizona,20207ArizonaSeattle
105,210,2020,7,True,SanFrancisco,NewEngland,45.5,44.5,36%,64%,-5,-3,69%,31%,46%,54%,20207SanFranciscoNewEngland,20207NewEnglandSanFrancisco
106,212,2020,7,True,KansasCity,Denver,-10,-7,66%,34%,49.5,46,61%,39%,96%,4%,20207KansasCityDenver,20207DenverKansasCity
107,214,2020,7,True,TampaBay,LasVegas,-2.5,-4,66%,34%,53.5,51.5,78%,22%,81%,19%,20207TampaBayLasVegas,20207LasVegasTampaBay
108,216,2020,7,True,Pittsburgh,Tennessee,52.5,51,55%,45%,-1,-1,51%,49%,63%,37%,20207PittsburghTennessee,20207TennesseePittsburgh
109,218,2020,7,True,Jacksonville,LAChargers,48.0,48.5,45%,55%,-7.5,-7.5,75%,25%,36%,64%,20207JacksonvilleLAChargers,20207LAChargersJacksonville
110,220,2020,7,True,Chicago,LARams,47.0,44,52%,48%,-7.5,-6.5,45%,55%,31%,69%,20207ChicagoLARams,20207LARamsChicago
111,222,2019,1,True,GreenBay,Chicago,46,46.5,43%,57%,-3.5,-3,46%,54%,44%,56%,20191GreenBayChicago,20191ChicagoGreenBay
112,224,2019,1,True,Atlanta,Minnesota,47.5,47.5,54%,46%,-4.5,-4,60%,40%,65%,35%,20191AtlantaMinnesota,20191MinnesotaAtlanta
113,226,2019,1,True,Washington,Philadelphia,46.5,44,24%,76%,-8.5,-10,37%,63%,10%,90%,20191WashingtonPhiladelphia,20191PhiladelphiaWashington
114,228,2019,1,True,Buffalo,NYJets,38.5,41.5,40%,60%,-3.5,-3,70%,30%,80%,20%,20191BuffaloNYJets,20191NYJetsBuffalo
115,230,2019,1,True,Baltimore,Miami,-4,-7,73%,27%,37,40.5,68%,32%,91%,9%,20191BaltimoreMiami,20191MiamiBaltimore
116,232,2019,1,True,SanFrancisco,TampaBay,49,51,49%,51%,-2.5,-1,68%,32%,57%,43%,20191SanFranciscoTampaBay,20191TampaBaySanFrancisco
117,234,2019,1,True,KansasCity,Jacksonville,-5.5,-3.5,58%,42%,52,49,42%,58%,86%,14%,20191KansasCityJacksonville,20191JacksonvilleKansasCity
118,236,2019,1,True,Tennessee,Cleveland,45,45.5,40%,60%,-5,-5.5,35%,65%,16%,84%,20191TennesseeCleveland,20191ClevelandTennessee
119,238,2019,1,True,LARams,Carolina,-2.5,-1.5,63%,37%,51,49.5,23%,77%,72%,28%,20191LARamsCarolina,20191CarolinaLARams
120,240,2019,1,True,Detroit,Arizona,PK,-2.5,66%,34%,49,46,54%,46%,55%,45%,20191DetroitArizona,20191ArizonaDetroit
121,242,2019,1,True,Cincinnati,Seattle,43.5,43.5,34%,66%,-9,-9.5,54%,46%,24%,76%,20191CincinnatiSeattle,20191SeattleCincinnati
122,244,2019,1,True,Indianapolis,LAChargers,48,45,49%,51%,-3.5,-6,49%,51%,46%,54%,20191IndianapolisLAChargers,20191LAChargersIndianapolis
123,246,2019,1,True,NYGiants,Dallas,46.5,44.5,34%,66%,-7.5,-7,52%,48%,14%,86%,20191NYGiantsDallas,20191DallasNYGiants
124,248,2019,1,True,Pittsburgh,NewEngland,51.5,49,42%,58%,-6.5,-6,47%,53%,24%,76%,20191PittsburghNewEngland,20191NewEnglandPittsburgh
125,250,2019,1,True,Houston,NewOrleans,54,52,45%,55%,-9,-7,67%,33%,17%,83%,20191HoustonNewOrleans,20191NewOrleansHouston
126,252,2019,1,True,Denver,Oakland,43,43,70%,30%,-3,-1.5,47%,53%,57%,43%,20191DenverOakland,20191OaklandDenver
127,254,2019,2,True,TampaBay,Carolina,51.0,48,29%,71%,-5,-6.5,48%,52%,11%,89%,20192TampaBayCarolina,20192CarolinaTampaBay
128,256,2019,2,True,Indianapolis,Tennessee,44.0,43.5,31%,69%,-3,-3,29%,71%,53%,47%,20192IndianapolisTennessee,20192TennesseeIndianapolis
129,258,2019,2,True,LAChargers,Detroit,-2.5,-1,51%,49%,47.0,47,55%,45%,37%,63%,20192LAChargersDetroit,20192DetroitLAChargers
130,260,2019,2,True,Buffalo,NYGiants,-2.5,-1,50%,50%,43.0,44.5,37%,63%,79%,21%,20192BuffaloNYGiants,20192NYGiantsBuffalo
131,262,2019,2,True,Arizona,Baltimore,41.5,46,46%,54%,-13.5,-13,83%,17%,36%,64%,20192ArizonaBaltimore,20192BaltimoreArizona
132,264,2019,2,True,NewEngland,Miami,-14.5,-18,62%,38%,47.0,48.5,41%,59%,87%,13%,20192NewEnglandMiami,20192MiamiNewEngland
133,266,2019,2,True,Dallas,Washington,-7,-6,69%,31%,44.0,46.5,79%,21%,82%,18%,20192DallasWashington,20192WashingtonDallas
134,268,2019,2,True,Jacksonville,Houston,44.5,43,52%,48%,-9.5,-7,26%,74%,35%,65%,20192JacksonvilleHouston,20192HoustonJacksonville
135,270,2019,2,True,Seattle,Pittsburgh,46.5,47,29%,71%,-4,-4,76%,24%,51%,49%,20192SeattlePittsburgh,20192PittsburghSeattle
136,272,2019,2,True,SanFrancisco,Cincinnati,-1.5,46.5,35%,65%,45.0,-1,73%,27%,57%,43%,20192SanFranciscoCincinnati,20192CincinnatiSanFrancisco
137,274,2019,2,True,Minnesota,GreenBay,46.0,43,57%,43%,-3,-3,39%,61%,30%,70%,20192MinnesotaGreenBay,20192GreenBayMinnesota
138,276,2019,2,True,KansasCity,Oakland,-8.5,-7,70%,30%,53.5,53,83%,17%,67%,33%,20192KansasCityOakland,20192OaklandKansasCity
139,278,2019,2,True,NewOrleans,LARams,53.5,52.5,33%,67%,-3,-1.5,74%,26%,21%,79%,20192NewOrleansLARams,20192LARamsNewOrleans
140,280,2019,2,True,Chicago,Denver,41.5,-2.5,59%,41%,-1,40.5,34%,66%,83%,17%,20192ChicagoDenver,20192DenverChicago
141,282,2019,2,True,Philadelphia,Atlanta,PK,-1,58%,42%,51.0,53,73%,27%,48%,52%,20192PhiladelphiaAtlanta,20192AtlantaPhiladelphia
142,284,2019,2,True,Cleveland,NYJets,-2.5,-6.5,57%,43%,45.5,45,51%,49%,74%,26%,20192ClevelandNYJets,20192NYJetsCleveland
143,286,2019,3,True,Tennessee,Jacksonville,48.5,-1.5,52%,48%,-6.5,38,48%,52%,72%,28%,20193TennesseeJacksonville,20193JacksonvilleTennessee
144,288,2019,3,True,Denver,GreenBay,43.5,41.5,43%,57%,-6.5,-7,45%,55%,5%,95%,20193DenverGreenBay,20193GreenBayDenver
145,290,2019,3,True,Detroit,Philadelphia,49.5,44.5,60%,40%,-7,-4,58%,42%,50%,50%,20193DetroitPhiladelphia,20193PhiladelphiaDetroit
146,292,2019,3,True,Baltimore,KansasCity,51.5,52,38%,62%,-6,-4.5,69%,31%,12%,88%,20193BaltimoreKansasCity,20193KansasCityBaltimore
147,294,2019,3,True,Cincinnati,Buffalo,40.5,43.5,54%,46%,-4,-6,38%,62%,48%,52%,20193CincinnatiBuffalo,20193BuffaloCincinnati
148,296,2019,3,True,Atlanta,Indianapolis,48.0,48,49%,51%,-2,-1,66%,34%,74%,26%,20193AtlantaIndianapolis,20193IndianapolisAtlanta
149,298,2019,3,True,Oakland,Minnesota,43.0,43.5,31%,69%,-7,-9,69%,31%,12%,88%,20193OaklandMinnesota,20193MinnesotaOakland
150,300,2019,3,True,NYJets,NewEngland,PK,43,28%,72%,48.0,-21,57%,43%,6%,94%,20193NYJetsNewEngland,20193NewEnglandNYJets
151,302,2019,3,True,Miami,Dallas,47.0,46.5,37%,63%,-16,-22.5,55%,45%,35%,65%,20193MiamiDallas,20193DallasMiami
152,304,2019,3,True,NYGiants,TampaBay,49.0,48,62%,38%,-4,-5.5,46%,54%,57%,43%,20193NYGiantsTampaBay,20193TampaBayNYGiants
153,306,2019,3,True,Carolina,Arizona,-3,45.5,34%,66%,43.5,-2,69%,31%,21%,79%,20193CarolinaArizona,20193ArizonaCarolina
154,308,2019,3,True,NewOrleans,Seattle,PK,44,39%,61%,50.0,-5,36%,64%,13%,87%,20193NewOrleansSeattle,20193SeattleNewOrleans
155,310,2019,3,True,Houston,LAChargers,49.0,49,48%,52%,-4,-3,61%,39%,71%,29%,20193HoustonLAChargers,20193LAChargersHouston
156,312,2019,3,True,Pittsburgh,SanFrancisco,PK,44.5,59%,41%,46.5,-6,83%,17%,65%,35%,20193PittsburghSanFrancisco,20193SanFranciscoPittsburgh
157,314,2019,3,True,LARams,Cleveland,-2.5,-4.5,64%,36%,51.0,48.5,74%,26%,62%,38%,20193LARamsCleveland,20193ClevelandLARams
158,316,2019,3,True,Chicago,Washington,-5,-5,56%,44%,42.5,41,39%,61%,66%,34%,20193ChicagoWashington,20193WashingtonChicago
159,318,2019,4,True,Philadelphia,GreenBay,48.0,46.5,44%,56%,-3,-3.5,66%,34%,26%,74%,20194PhiladelphiaGreenBay,20194GreenBayPhiladelphia
160,320,2019,4,True,Carolina,Houston,,47.5,37%,63%,,-5.5,74%,26%,42%,58%,20194CarolinaHouston,20194HoustonCarolina
161,322,2019,4,True,Cleveland,Baltimore,46.5,47.5,45%,55%,-5,-7,79%,21%,57%,43%,20194ClevelandBaltimore,20194BaltimoreCleveland
162,324,2019,4,True,Washington,NYGiants,46.0,48,53%,47%,-2.5,-3,55%,45%,28%,72%,20194WashingtonNYGiants,20194NYGiantsWashington
163,326,2019,4,True,LAChargers,Miami,-16,-14.5,42%,58%,45.0,44,44%,56%,84%,16%,20194LAChargersMiami,20194MiamiLAChargers
164,328,2019,4,True,Oakland,Indianapolis,44.0,46,47%,53%,-6.5,-5.5,60%,40%,39%,61%,20194OaklandIndianapolis,20194IndianapolisOakland
165,330,2019,4,True,KansasCity,Detroit,-6,-7,77%,23%,53.0,54.5,67%,33%,87%,13%,20194KansasCityDetroit,20194DetroitKansasCity
166,332,2019,4,True,NewEngland,Buffalo,-6,-7,79%,21%,44.0,41.5,36%,64%,91%,9%,20194NewEnglandBuffalo,20194BuffaloNewEngland
167,334,2019,4,True,Tennessee,Atlanta,46.5,46,55%,45%,-3.5,-3.5,60%,40%,31%,69%,20194TennesseeAtlanta,20194AtlantaTennessee
168,336,2019,4,True,TampaBay,LARams,50.0,48.5,45%,55%,-9,-9.5,52%,48%,4%,96%,20194TampaBayLARams,20194LARamsTampaBay
169,338,2019,4,True,Seattle,Arizona,-3,-5.5,51%,49%,46.0,49,49%,51%,89%,11%,20194SeattleArizona,20194ArizonaSeattle
170,340,2019,4,True,Minnesota,Chicago,39.0,PK,47%,53%,-3,38,44%,56%,55%,45%,20194MinnesotaChicago,20194ChicagoMinnesota
