,index,Season,Week,Include,Team 1,Team 2,Team 1 Final,Team 2 Final,Total Final,Game ID 1,Game ID 2
69,138,2016,2,True,TampaBay,Arizona,7.0,40.0,47.0,20162TampaBayArizona,20162ArizonaTampaBay
70,140,2016,2,True,Seattle,LosAngeles,3.0,9.0,12.0,20162SeattleLosAngeles,20162LosAngelesSeattle
71,142,2016,2,True,Jacksonville,SanDiego,14.0,38.0,52.0,20162JacksonvilleSanDiego,20162SanDiegoJacksonville
72,144,2016,2,True,Atlanta,Oakland,35.0,28.0,63.0,20162AtlantaOakland,20162OaklandAtlanta
73,146,2016,2,True,Indianapolis,Denver,20.0,34.0,54.0,20162IndianapolisDenver,20162DenverIndianapolis
74,148,2016,2,True,GreenBay,Minnesota,14.0,17.0,31.0,20162GreenBayMinnesota,20162MinnesotaGreenBay
75,150,2016,2,True,Philadelphia,Chicago,29.0,14.0,43.0,20162PhiladelphiaChicago,20162ChicagoPhiladelphia
76,152,2016,3,True,Houston,NewEngland,0.0,27.0,27.0,20163HoustonNewEngland,20163NewEnglandHouston
77,154,2016,3,True,Arizona,Buffalo,18.0,33.0,51.0,20163ArizonaBuffalo,20163BuffaloArizona
78,156,2016,3,True,Oakland,Tennessee,17.0,10.0,27.0,20163OaklandTennessee,20163TennesseeOakland
79,158,2016,3,True,Washington,NYGiants,29.0,27.0,56.0,20163WashingtonNYGiants,20163NYGiantsWashington
80,160,2016,3,True,Cleveland,Miami,24.0,30.0,54.0,20163ClevelandMiami,20163MiamiCleveland
81,162,2016,3,True,Baltimore,Jacksonville,19.0,17.0,36.0,20163BaltimoreJacksonville,20163JacksonvilleBaltimore
82,164,2016,3,True,Detroit,GreenBay,27.0,34.0,61.0,20163DetroitGreenBay,20163GreenBayDetroit
83,166,2016,3,True,Denver,Cincinnati,29.0,17.0,46.0,20163DenverCincinnati,20163CincinnatiDenver
84,168,2016,3,True,Minnesota,Carolina,22.0,10.0,32.0,20163MinnesotaCarolina,20163CarolinaMinnesota
85,170,2016,3,True,LosAngeles,TampaBay,37.0,32.0,69.0,20163LosAngelesTampaBay,20163TampaBayLosAngeles
86,172,2016,3,True,SanFrancisco,Seattle,18.0,37.0,55.0,20163SanFranciscoSeattle,20163SeattleSanFrancisco
87,174,2016,3,True,NYJets,KansasCity,3.0,24.0,27.0,20163NYJetsKansasCity,20163KansasCityNYJets
88,176,2016,3,True,SanDiego,Indianapolis,22.0,26.0,48.0,20163SanDiegoIndianapolis,20163IndianapolisSanDiego
89,178,2016,3,True,Pittsburgh,Philadelphia,3.0,34.0,37.0,20163PittsburghPhiladelphia,20163PhiladelphiaPittsburgh
90,180,2016,3,True,Chicago,Dallas,17.0,31.0,48.0,20163ChicagoDallas,20163DallasChicago
91,182,2016,3,True,Atlanta,NewOrleans,45.0,32.0,77.0,20163AtlantaNewOrleans,20163NewOrleansAtlanta
92,184,2016,4,True,Miami,Cincinnati,7.0,22.0,29.0,20164MiamiCincinnati,20164CincinnatiMiami
93,186,2016,4,True,Indianapolis,Jacksonville,27.0,30.0,57.0,20164IndianapolisJacksonville,20164JacksonvilleIndianapolis
